scenario,boost_scenario,boost_recovery_curve,k_years,dose2_interval_years,group,is_no_revaccination,n_draws,infections_per1000_py_alive_median,infections_per1000_py_alive_lo95,infections_per1000_py_alive_hi95,cases_per1000_py_alive_median,cases_per1000_py_alive_lo95,cases_per1000_py_alive_hi95,hospitalizations_per1000_py_alive_median,hospitalizations_per1000_py_alive_lo95,hospitalizations_per1000_py_alive_hi95,deaths_per1000_py_alive_median,deaths_per1000_py_alive_lo95,deaths_per1000_py_alive_hi95
older_adult_vax_main,none,no_revaccination,0,0,age_60plus,True,5,200.13432956782324,191.87741019005514,322.5544070769107,86.06172261698721,68.0408446551339,111.94554198645685,1.4520526047687294,1.2637380848656345,1.5849733028327324,0.07567866246166455,0.06478309800212562,0.08200260556745018
older_adult_vax_main,none,no_revaccination,0,0,all_ages,True,5,328.04759285837144,298.565401705146,507.5719684884397,122.045631190932,116.47660961888712,175.42245136444458,0.9600055672077605,0.8682230762425899,1.1462242543026357,0.028134408315220103,0.02514350269761201,0.031174267775396076
older_adult_vax_main,none,no_revaccination,0,0,vaccinated_primary,True,5,185.29522898397417,177.96834073947235,297.74087993076773,70.80684806114495,55.51494321705446,92.18346787537216,1.9621528187971573,1.6289136554021364,2.074287517452671,0.10550478359933736,0.08687593172019775,0.11111057762832163
older_adult_vax_main,none,no_revaccination,0,0,vaccine_eligible,True,5,187.51430879673305,180.28574946111803,302.55731444595506,79.4415516476033,62.62845742763357,103.45100466105266,1.9210697967312096,1.6526268819413816,2.0844192157047177,0.10116610847631562,0.08579949213941021,0.10908620538835932
older_adult_vax_main,scenario_a,scenario_a,1,1,age_60plus,False,5,200.1340992906532,191.87700263683297,322.5540973386776,86.06089924406494,68.04024298470118,111.94443737660413,1.4520283617213443,1.2637186264556215,1.5849490040265926,0.07567737124023964,0.06478207122361733,0.08200131574797703
older_adult_vax_main,scenario_a,scenario_a,1,1,all_ages,False,5,328.0474266469944,298.565101307287,507.5717683468917,122.04520031451976,116.47637561245178,175.4221349640423,0.9599989524355209,0.868214684582624,1.1462160777003667,0.028134028956164216,0.025143152896466993,0.031173835629034193
older_adult_vax_main,scenario_a,scenario_a,1,1,vaccinated_primary,False,5,185.2949557151072,177.9678571406575,297.74050928905115,70.8041256262385,55.51288440207197,92.17992756554911,1.962067356838382,1.6288436702277338,2.0741997380680406,0.10550022426751174,0.08687223503051393,0.11110591422749225
older_adult_vax_main,scenario_a,scenario_a,1,1,vaccine_eligible,False,5,187.51407260292197,180.28533355270866,302.55699227761664,79.44048443259751,62.627668569546685,103.44958812772737,1.9210365402728444,1.652600180822686,2.0843858404824585,0.10116433501225609,0.08579808166140233,0.10908443212715611
older_adult_vax_main,scenario_a,scenario_a,2,2,age_60plus,False,5,199.9727904179283,191.61460318815864,322.3344901772466,85.50400567506003,67.6087688734594,111.19666223457014,1.4355611148969947,1.2496865128491565,1.5675516339318283,0.07479773383781115,0.06403927143877569,0.08107536168473806
older_adult_vax_main,scenario_a,scenario_a,2,2,all_ages,False,5,327.93384876647764,298.37338229365577,507.4340158041578,121.75708566705903,116.31127828759676,175.19532158980158,0.9552402219394798,0.8625266204983716,1.1403337093656036,0.027858515584424943,0.024892108275850297,0.030863649094072243
